sample_index,sample_id,category,task,example,gt_skill_pattern,official_status,official_eligible,repeat_1_status,repeat_1_success,repeat_2_status,repeat_2_success,case_dir,updated_at
977,M&T/insert_flower/example76,M&T,insert_flower,example76,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example76,2026-05-19 08:36:44
978,M&T/insert_flower/example77,M&T,insert_flower,example77,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example77,2026-05-19 08:39:06
979,M&T/insert_flower/example78,M&T,insert_flower,example78,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example78,2026-05-19 08:41:07
980,M&T/insert_flower/example79,M&T,insert_flower,example79,pick>insert,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example79,2026-05-19 08:43:02
981,M&T/insert_flower/example80,M&T,insert_flower,example80,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example80,2026-05-19 08:44:46
982,M&T/insert_flower/example81,M&T,insert_flower,example81,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example81,2026-05-19 08:46:38
983,M&T/insert_flower/example82,M&T,insert_flower,example82,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example82,2026-05-19 08:48:33
984,M&T/insert_flower/example83,M&T,insert_flower,example83,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example83,2026-05-19 08:50:23
985,M&T/insert_flower/example84,M&T,insert_flower,example84,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example84,2026-05-19 08:52:14
986,M&T/insert_flower/example85,M&T,insert_flower,example85,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example85,2026-05-19 08:54:11
987,M&T/insert_flower/example86,M&T,insert_flower,example86,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example86,2026-05-19 08:56:07
988,M&T/insert_flower/example87,M&T,insert_flower,example87,pick>insert,B5_nondeterministic_mismatch,False,completed,True,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example87,2026-05-19 08:58:08
989,M&T/insert_flower/example88,M&T,insert_flower,example88,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example88,2026-05-19 08:59:54
990,M&T/insert_flower/example89,M&T,insert_flower,example89,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example89,2026-05-19 09:02:04
991,M&T/insert_flower/example90,M&T,insert_flower,example90,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example90,2026-05-19 09:03:57
992,M&T/insert_flower/example91,M&T,insert_flower,example91,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example91,2026-05-19 09:05:49
993,M&T/insert_flower/example92,M&T,insert_flower,example92,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example92,2026-05-19 09:07:38
994,M&T/insert_flower/example93,M&T,insert_flower,example93,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example93,2026-05-19 09:09:34
995,M&T/insert_flower/example94,M&T,insert_flower,example94,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example94,2026-05-19 09:11:38
996,M&T/insert_flower/example95,M&T,insert_flower,example95,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example95,2026-05-19 09:13:21
997,M&T/insert_flower/example96,M&T,insert_flower,example96,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example96,2026-05-19 09:15:10
998,M&T/insert_flower/example97,M&T,insert_flower,example97,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example97,2026-05-19 09:17:02
999,M&T/insert_flower/example98,M&T,insert_flower,example98,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example98,2026-05-19 09:19:19
1000,M&T/insert_flower/example99,M&T,insert_flower,example99,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\insert_flower\example99,2026-05-19 09:21:11
1001,M&T/select_billiards/example0,M&T,select_billiards,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example0,2026-05-19 09:22:29
1002,M&T/select_billiards/example1,M&T,select_billiards,example1,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example1,2026-05-19 09:24:03
1003,M&T/select_billiards/example2,M&T,select_billiards,example2,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example2,2026-05-19 09:25:31
1004,M&T/select_billiards/example3,M&T,select_billiards,example3,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example3,2026-05-19 09:27:09
1005,M&T/select_billiards/example4,M&T,select_billiards,example4,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example4,2026-05-19 09:28:34
1006,M&T/select_billiards/example5,M&T,select_billiards,example5,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example5,2026-05-19 09:30:20
1007,M&T/select_billiards/example6,M&T,select_billiards,example6,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example6,2026-05-19 09:31:46
1008,M&T/select_billiards/example7,M&T,select_billiards,example7,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example7,2026-05-19 09:33:11
1009,M&T/select_billiards/example8,M&T,select_billiards,example8,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example8,2026-05-19 09:34:54
1010,M&T/select_billiards/example9,M&T,select_billiards,example9,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example9,2026-05-19 09:36:29
1011,M&T/select_billiards/example10,M&T,select_billiards,example10,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example10,2026-05-19 09:38:16
1012,M&T/select_billiards/example11,M&T,select_billiards,example11,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example11,2026-05-19 09:39:54
1013,M&T/select_billiards/example12,M&T,select_billiards,example12,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example12,2026-05-19 09:41:31
1014,M&T/select_billiards/example13,M&T,select_billiards,example13,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example13,2026-05-19 09:43:05
1015,M&T/select_billiards/example14,M&T,select_billiards,example14,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example14,2026-05-19 09:44:39
1016,M&T/select_billiards/example15,M&T,select_billiards,example15,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example15,2026-05-19 09:46:12
1017,M&T/select_billiards/example16,M&T,select_billiards,example16,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example16,2026-05-19 09:47:49
1018,M&T/select_billiards/example17,M&T,select_billiards,example17,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example17,2026-05-19 09:49:27
1019,M&T/select_billiards/example18,M&T,select_billiards,example18,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example18,2026-05-19 09:51:06
1020,M&T/select_billiards/example19,M&T,select_billiards,example19,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example19,2026-05-19 09:52:45
1021,M&T/select_billiards/example20,M&T,select_billiards,example20,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example20,2026-05-19 09:54:28
1022,M&T/select_billiards/example21,M&T,select_billiards,example21,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example21,2026-05-19 09:55:54
1023,M&T/select_billiards/example22,M&T,select_billiards,example22,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example22,2026-05-19 09:57:30
1024,M&T/select_billiards/example23,M&T,select_billiards,example23,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example23,2026-05-19 09:59:13
1025,M&T/select_billiards/example24,M&T,select_billiards,example24,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example24,2026-05-19 10:00:36
1026,M&T/select_billiards/example25,M&T,select_billiards,example25,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example25,2026-05-19 10:02:16
1027,M&T/select_billiards/example26,M&T,select_billiards,example26,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example26,2026-05-19 10:03:35
1028,M&T/select_billiards/example27,M&T,select_billiards,example27,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example27,2026-05-19 10:04:51
1029,M&T/select_billiards/example28,M&T,select_billiards,example28,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example28,2026-05-19 10:06:22
1030,M&T/select_billiards/example29,M&T,select_billiards,example29,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example29,2026-05-19 10:08:01
1031,M&T/select_billiards/example30,M&T,select_billiards,example30,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example30,2026-05-19 10:09:30
1032,M&T/select_billiards/example31,M&T,select_billiards,example31,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example31,2026-05-19 10:10:59
1033,M&T/select_billiards/example32,M&T,select_billiards,example32,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example32,2026-05-19 10:12:29
1034,M&T/select_billiards/example33,M&T,select_billiards,example33,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example33,2026-05-19 10:14:11
1035,M&T/select_billiards/example34,M&T,select_billiards,example34,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example34,2026-05-19 10:15:39
1036,M&T/select_billiards/example35,M&T,select_billiards,example35,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example35,2026-05-19 10:17:25
1037,M&T/select_billiards/example36,M&T,select_billiards,example36,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example36,2026-05-19 10:19:05
1038,M&T/select_billiards/example37,M&T,select_billiards,example37,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example37,2026-05-19 10:20:41
1039,M&T/select_billiards/example38,M&T,select_billiards,example38,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example38,2026-05-19 10:22:21
1040,M&T/select_billiards/example39,M&T,select_billiards,example39,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example39,2026-05-19 10:23:59
1041,M&T/select_billiards/example40,M&T,select_billiards,example40,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example40,2026-05-19 10:25:25
1042,M&T/select_billiards/example41,M&T,select_billiards,example41,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example41,2026-05-19 10:26:38
1043,M&T/select_billiards/example43,M&T,select_billiards,example43,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example43,2026-05-19 10:28:03
1044,M&T/select_billiards/example42,M&T,select_billiards,example42,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example42,2026-05-19 10:29:29
1045,M&T/select_billiards/example44,M&T,select_billiards,example44,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example44,2026-05-19 10:30:52
1046,M&T/select_billiards/example45,M&T,select_billiards,example45,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example45,2026-05-19 10:32:29
1047,M&T/select_billiards/example47,M&T,select_billiards,example47,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example47,2026-05-19 10:34:01
1048,M&T/select_billiards/example46,M&T,select_billiards,example46,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example46,2026-05-19 10:35:36
1049,M&T/select_billiards/example48,M&T,select_billiards,example48,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example48,2026-05-19 10:36:57
1050,M&T/select_billiards/example49,M&T,select_billiards,example49,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example49,2026-05-19 10:38:18
1051,M&T/select_billiards/example51,M&T,select_billiards,example51,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example51,2026-05-19 10:39:57
1052,M&T/select_billiards/example50,M&T,select_billiards,example50,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example50,2026-05-19 10:41:24
1053,M&T/select_billiards/example53,M&T,select_billiards,example53,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example53,2026-05-19 10:42:49
1054,M&T/select_billiards/example52,M&T,select_billiards,example52,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example52,2026-05-19 10:44:23
1055,M&T/select_billiards/example54,M&T,select_billiards,example54,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example54,2026-05-19 10:45:43
1056,M&T/select_billiards/example55,M&T,select_billiards,example55,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example55,2026-05-19 10:46:59
1057,M&T/select_billiards/example57,M&T,select_billiards,example57,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example57,2026-05-19 10:48:27
1058,M&T/select_billiards/example56,M&T,select_billiards,example56,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example56,2026-05-19 10:49:47
1059,M&T/select_billiards/example58,M&T,select_billiards,example58,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example58,2026-05-19 10:51:25
1060,M&T/select_billiards/example59,M&T,select_billiards,example59,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example59,2026-05-19 10:53:01
1061,M&T/select_billiards/example60,M&T,select_billiards,example60,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example60,2026-05-19 10:54:24
1062,M&T/select_billiards/example61,M&T,select_billiards,example61,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example61,2026-05-19 10:56:09
1063,M&T/select_billiards/example62,M&T,select_billiards,example62,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example62,2026-05-19 10:57:53
1064,M&T/select_billiards/example63,M&T,select_billiards,example63,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example63,2026-05-19 10:59:19
1065,M&T/select_billiards/example64,M&T,select_billiards,example64,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example64,2026-05-19 11:00:46
1066,M&T/select_billiards/example65,M&T,select_billiards,example65,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example65,2026-05-19 11:02:03
1067,M&T/select_billiards/example66,M&T,select_billiards,example66,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example66,2026-05-19 11:03:39
1068,M&T/select_billiards/example67,M&T,select_billiards,example67,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example67,2026-05-19 11:05:22
1069,M&T/select_billiards/example68,M&T,select_billiards,example68,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example68,2026-05-19 11:06:51
1070,M&T/select_billiards/example69,M&T,select_billiards,example69,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example69,2026-05-19 11:08:10
1071,M&T/select_billiards/example70,M&T,select_billiards,example70,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example70,2026-05-19 11:09:36
1072,M&T/select_billiards/example71,M&T,select_billiards,example71,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example71,2026-05-19 11:11:15
1073,M&T/select_billiards/example72,M&T,select_billiards,example72,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example72,2026-05-19 11:12:35
1074,M&T/select_billiards/example73,M&T,select_billiards,example73,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example73,2026-05-19 11:14:15
1075,M&T/select_billiards/example74,M&T,select_billiards,example74,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example74,2026-05-19 11:15:38
1076,M&T/select_billiards/example75,M&T,select_billiards,example75,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example75,2026-05-19 11:16:55
1077,M&T/select_billiards/example76,M&T,select_billiards,example76,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example76,2026-05-19 11:18:19
1078,M&T/select_billiards/example77,M&T,select_billiards,example77,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example77,2026-05-19 11:19:56
1079,M&T/select_billiards/example78,M&T,select_billiards,example78,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example78,2026-05-19 11:21:34
1080,M&T/select_billiards/example79,M&T,select_billiards,example79,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example79,2026-05-19 11:23:10
1081,M&T/select_billiards/example80,M&T,select_billiards,example80,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example80,2026-05-19 11:24:51
1082,M&T/select_billiards/example81,M&T,select_billiards,example81,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_billiards\example81,2026-05-19 11:26:30
